"",ESPECIE 2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CONGRIO COLORADO,1.546.442,1.757.538,1.613.318,1.705.381,1.836.776,2.022.482,2.289.065,2.107.298,2.008.843,1.994.168,2.036.471
CONGRIO DORADO,761.211,1.044.854,1.167.810,994.964,1.634.619,1.145.234,1.349.994,1.175.408,1.015.580,1.080.769,1.156.875
CONGRIO NEGRO,966.358,886.307,879.046,1.142.033,1.601.714,1.375.328,1.926.077,1.480.840,1.341.384,1.238.189,1.331.923
CORVINA,1.477.674,1.296.286,1.604.452,1.645.240,1.815.348,1.734.398,2.056.858,1.762.715,1.517.960,1.665.192,1.922.500
DORADO DE ALtuRA,1.331.738,1.125.349,1.414.187,1.383.795,2.182.070,1.390.903,1.878.414,2.489.540,2.202.604,2.193.650,2.360.000
HuAIQuIL O CORVINILLA,-,423.610,-,408.459,787.415,-,-,-,-,-,-
JERGuILLA,-,-,-,-,660.790,634.602,993.617,1.670.911,2.186.844,2.148.889,850.000
JuREL,349.482,344.383,580.409,600.794,687.392,690.531,953.406,832.945,844.009,574.106,569.874
LENGuADO,3.013.124,3.029.590,2.481.065,2.587.273,2.920.943,2.980.027,3.637.689,3.482.528,3.182.760,3.473.117,2.403.636
LISA,493.564,717.185,899.231,1.097.095,1.231.272,1.061.791,1.762.772,1.445.790,1.432.385,948.174,1.400.000
MERLuZA COMuN,398.624,439.859,610.829,937.273,1.003.937,1.044.370,1.214.426,848.172,969.114,636.236,648.943
MERLuZA DE COLA,548.913,350.522,176.214,-,-,-,-,-,-,-,3.000.000
MERLuZA DEL SuR,823.834,970.498,1.208.208,1.284.818,1.258.539,1.371.861,1.468.494,1.250.324,1.164.461,1.153.417,818.889
NANuE,-,2.823.523,2.749.343,3.203.926,3.499.588,3.760.329,3.865.892,3.905.143,-,-,-
PEJEGALLO,465.260,601.619,315.267,787.370,859.464,1.046.822,1.248.622,806.496,750.432,637.628,1.101.905
PEJEPERRO,1.066.572,1.029.097,1.050.603,1.030.807,1.172.857,1.020.479,1.712.526,1.750.960,1.121.471,1.384.837,1.950.000
PEJERREY DE MAR,497.027,510.476,603.274,569.065,652.599,822.601,901.988,932.768,850.693,477.955,581.154
PEJESAPO,4.333.114,-,1.209.884,1.361.531,-,-,996.974,1.151.417,-,1.303.512,2.250.000
RAYA,671.674,931.231,1.329.954,951.768,1.084.544,1.022.399,1.127.400,1.137.304,1.044.816,1.010.250,1.144.556
REINEtA,555.347,953.623,1.339.874,1.236.537,1.111.373,947.845,1.857.454,1.344.216,1.055.249,604.257,965.000
REMOREMO,-,2.970.904,2.820.329,3.262.748,3.468.462,3.819.602,4.183.863,4.211.292,-,-,-
ROBALO,413.881,597.300,663.152,736.254,774.576,950.069,1.215.554,1.010.022,925.740,748.704,1.096.667
ROCOCO,602.862,438.521,690.943,669.338,707.566,848.248,745.613,1.437.357,1.647.409,1.727.410,875.000
ROLLIZO,1.045.417,904.230,946.754,924.250,1.123.693,1.252.227,1.326.212,1.048.482,1.450.754,1.064.096,1.058.889
RONCACHO,300.699,389.350,683.704,587.084,510.687,827.556,517.148,865.601,876.620,1.066.339,812.500
SALMON PLAtEADO,-,1.836.092,1.989.830,1.904.599,-,2.206.428,-,-,-,-,-
SARDINA,205.333,109.126,431.635,201.392,119.610,140.378,104.084,-,141.605,-,900.000
SARDINA COMuN,100.820,-,-,76.674,171.871,-,436.176,123.626,184.009,-,90.000
SARGO,577.973,704.343,683.066,611.994,886.785,701.869,1.347.813,1.168.617,1.101.970,1.116.911,1.480.000
SIERRA,534.482,757.093,1.174.572,1.041.937,1.405.239,1.572.897,1.605.362,1.771.839,1.197.181,905.340,568.333
tIBuRON O MARRAJO,1.043.657,1.209.273,1.257.851,1.416.663,1.530.744,1.640.089,1.821.438,1.640.502,2.076.167,2.384.782,2.509.091
tOLLO,704.085,863.574,683.218,1.076.386,899.291,1.356.148,1.432.993,822.931,3.313.004,792.325,1.614.286
tOMOYO,964.150,284.543,685.010,-,800.010,956.302,1.352.874,1.344.064,554.678,2.163.717,2.920.000
"VIDRIOLA, PALOMEtA, DORADO O tOREMO",954.129,843.084,709.669,1.148.038,1.097.460,4.106.301,940.719,917.621,1.988.703,1.430.423,1.500.000
VIEJA O MuLAtA,1.251.876,1.313.878,1.261.110,1.330.160,1.347.586,1.088.618,1.668.807,1.833.668,1.690.081,1.642.545,1.650.000
